image_filename,x1,x2,y1,y2,label
207386.png,610.625,615.75,351.5,358.625,Yellow
207386.png,633.875,638.125,342.25,351.0,Yellow
207386.png,649.5,655.0,350.375,360.75,Yellow
207390.png,612.0,615.5,354.75,360.375,RedLeft
207390.png,632.25,636.625,346.375,355.375,Red
207390.png,649.25,653.875,353.5,364.875,Red
207458.png,608.875,613.625,354.0,364.75,RedLeft
207458.png,633.125,638.0,343.375,353.875,Red
207458.png,652.875,656.875,355.375,363.5,Red
207464.png,633.0,640.0,344.25,355.625,Red
207464.png,610.0,615.0,356.5,365.0,RedLeft
207464.png,651.875,659.5,353.75,366.375,Red
207468.png,611.5,616.375,351.75,361.125,RedLeft
207468.png,633.125,639.75,340.25,350.25,Red
207468.png,655.125,660.5,351.625,360.625,Red
207484.png,612.5,618.375,351.625,361.125,RedLeft
207484.png,636.875,642.625,339.5,349.375,Red
207484.png,656.75,663.375,351.0,362.75,Red
207512.png,616.25,623.375,346.25,357.0,RedLeft
207512.png,642.125,649.875,333.375,346.375,Red
207512.png,663.125,668.25,343.875,355.5,Red
207542.png,624.5,629.75,356.0,365.625,RedLeft
207542.png,649.375,657.0,342.625,353.5,Red
207542.png,675.125,679.25,355.875,365.625,Red
207544.png,625.125,630.0,358.125,366.875,RedLeft
207544.png,651.875,657.25,345.125,355.25,Red
207544.png,675.375,679.75,357.375,366.875,Red
207566.png,630.5,633.5,350.625,360.125,RedLeft
207566.png,659.125,662.5,340.5,347.75,Red
207566.png,683.25,686.25,350.0,358.875,Red
207642.png,632.25,635.375,355.875,362.75,RedLeft
207642.png,665.875,668.125,341.125,347.75,Red
207642.png,694.25,697.5,354.125,361.625,Red
207840.png,643.625,649.25,337.375,350.625,RedLeft
207840.png,601.125,607.25,352.375,365.0,RedLeft
207840.png,703.75,709.375,308.0,322.125,Red
207840.png,752.5,760.375,335.375,350.125,Red
207840.png,760.0,767.0,329.75,344.375,Red
207858.png,630.5,637.875,356.0,372.125,RedLeft
207858.png,676.25,682.375,341.625,354.625,RedLeft
