bboxes,filepath,height,width
"[{'class': 'RedLeft', 'x1': 828, 'x2': 839, 'y1': 337, 'y2': 313}, {'class': 'RedLeft', 'x1': 1263, 'x2': 1275, 'y1': 314, 'y2': 291}]",9420.png,720,1280
"[{'class': 'RedLeft', 'x1': 786, 'x2': 805, 'y1': 337, 'y2': 296}, {'class': 'Red', 'x1': 923, 'x2': 941, 'y1': 332, 'y2': 292}, {'class': 'Red', 'x1': 1111, 'x2': 1128, 'y1': 242, 'y2': 202}, {'class': 'RedLeft', 'x1': 244, 'x2': 262, 'y1': 352, 'y2': 308}]",9490.png,720,1280
"[{'class': 'RedLeft', 'x1': 775, 'x2': 797, 'y1': 333, 'y2': 286}, {'class': 'Red', 'x1': 930, 'x2': 953, 'y1': 329, 'y2': 283}, {'class': 'RedLeft', 'x1': 154, 'x2': 174, 'y1': 342, 'y2': 295}, {'class': 'Red', 'x1': 1144, 'x2': 1165, 'y1': 230, 'y2': 183}]",9560.png,720,1280
"[{'class': 'GreenRight', 'x1': 1164, 'x2': 1185, 'y1': 227, 'y2': 177}, {'class': 'GreenRight', 'x1': 941, 'x2': 962, 'y1': 331, 'y2': 283}, {'class': 'GreenLeft', 'x1': 779, 'x2': 800, 'y1': 335, 'y2': 286}, {'class': 'GreenLeft', 'x1': 128, 'x2': 147, 'y1': 346, 'y2': 303}]",10648.png,720,1280
"[{'class': 'GreenLeft', 'x1': 958, 'x2': 987, 'y1': 324, 'y2': 265}, {'class': 'GreenRight', 'x1': 1148, 'x2': 1175, 'y1': 319, 'y2': 262}, {'class': 'GreenLeft', 'x1': 207, 'x2': 229, 'y1': 334, 'y2': 279}]",10718.png,720,1280
"[{'class': 'GreenLeft', 'x1': 405, 'x2': 440, 'y1': 315, 'y2': 241}]",10786.png,720,1280
"[{'class': 'Green', 'x1': 660, 'x2': 668, 'y1': 334, 'y2': 329}, {'class': 'Green', 'x1': 618, 'x2': 623, 'y1': 318, 'y2': 307}]",10926.png,720,1280
"[{'class': 'Green', 'x1': 668, 'x2': 672, 'y1': 339, 'y2': 329}, {'class': 'Green', 'x1': 715, 'x2': 721, 'y1': 360, 'y2': 354}]",10996.png,720,1280
"[{'class': 'Green', 'x1': 659, 'x2': 663, 'y1': 331, 'y2': 320}, {'class': 'Green', 'x1': 716, 'x2': 721, 'y1': 353, 'y2': 341}]",11064.png,720,1280
"[{'class': 'Green', 'x1': 663, 'x2': 669, 'y1': 306, 'y2': 293}, {'class': 'Green', 'x1': 725, 'x2': 732, 'y1': 340, 'y2': 322}, {'class': 'off', 'x1': 606, 'x2': 611, 'y1': 304, 'y2': 291}, {'class': 'Green', 'x1': 736, 'x2': 742, 'y1': 334, 'y2': 319}]",11134.png,720,1280
"[{'class': 'Red', 'x1': 585, 'x2': 592, 'y1': 290, 'y2': 273}, {'class': 'Green', 'x1': 661, 'x2': 668, 'y1': 295, 'y2': 278}, {'class': 'Green', 'x1': 743, 'x2': 750, 'y1': 338, 'y2': 319}, {'class': 'Green', 'x1': 766, 'x2': 772, 'y1': 328, 'y2': 308}]",11204.png,720,1280
"[{'class': 'RedLeft', 'x1': 342, 'x2': 355, 'y1': 328, 'y2': 302}, {'class': 'RedLeft', 'x1': 543, 'x2': 555, 'y1': 252, 'y2': 223}, {'class': 'Green', 'x1': 658, 'x2': 671, 'y1': 256, 'y2': 228}, {'class': 'Green', 'x1': 783, 'x2': 793, 'y1': 318, 'y2': 291}, {'class': 'Green', 'x1': 842, 'x2': 856, 'y1': 295, 'y2': 259}]",11274.png,720,1280
"[{'class': 'RedLeft', 'x1': 94, 'x2': 118, 'y1': 302, 'y2': 250}, {'class': 'RedLeft', 'x1': 482, 'x2': 504, 'y1': 154, 'y2': 99}, {'class': 'Green', 'x1': 708, 'x2': 730, 'y1': 162, 'y2': 106}, {'class': 'Green', 'x1': 955, 'x2': 974, 'y1': 282, 'y2': 231}]",11342.png,720,1280
"[{'class': 'Green', 'x1': 633, 'x2': 638, 'y1': 334, 'y2': 321}]",13190.png,720,1280
"[{'class': 'Green', 'x1': 615, 'x2': 620, 'y1': 331, 'y2': 318}, {'class': 'Green', 'x1': 688, 'x2': 694, 'y1': 352, 'y2': 340}, {'class': 'Green', 'x1': 680, 'x2': 685, 'y1': 356, 'y2': 344}, {'class': 'Red', 'x1': 572, 'x2': 578, 'y1': 328, 'y2': 317}]",13260.png,720,1280
"[{'class': 'Red', 'x1': 564, 'x2': 570, 'y1': 315, 'y2': 302}, {'class': 'Yellow', 'x1': 611, 'x2': 617, 'y1': 317, 'y2': 304}, {'class': 'Yellow', 'x1': 686, 'x2': 691, 'y1': 347, 'y2': 335}, {'class': 'Yellow', 'x1': 696, 'x2': 703, 'y1': 342, 'y2': 326}, {'class': 'Red', 'x1': 438, 'x2': 443, 'y1': 351, 'y2': 338}]",13330.png,720,1280
